text,tags
medical lasers,B I
LASIK surgical machines,B I I
medical ventilators,B I
incubators,B
anaesthetic machines,B I
heart-lung machines,B I
ECMO,B
Medical monitors,B I
physical therapy machines,B I I
continuous passive range of motion ( CPM ) machines,B I I I I I I I I
touchscreens,B
digital ink,B I
face recognition,B I
electronic health records ( EHR ),B I I I I I
health information exchange ( HIE ),B I I I I I
nanomedicine,B
genome-based personalized medicine,B I I
Geographical Positioning System,B I I
radio frequency identification,B I I
telemedicine,B
mobile home health care,B I I I
cloud computing,B I
Medical imaging,B I
Magnetic resonance imaging,B I I
sound processor,B I
microphones,B
digital signal processor ( DSP ) chips,B I I I I I I
drug-eluting stent ( DES ),B I I I I
Drug-eluting stents,B I
bare-metal stents,B I
cryptocurrency wallet,B I
smart contract,B I
bitcoin,B
The DAO,B I
litecoin,B
cryptocurrencies,B
distributed ledgers,B I
IOTA token,B I
IOTA network,B I
iota tokens,B I
IOTA tokens,B I
IOTA wallets,B I
IOTA,B
hardware wallet,B I
EOS tokens,B I
PoW-based cryptocurrencies,B I
PoW token,B I
Bitcoin Cash,B I
altcoin,B
smart bonds,B I
TRON,B
EOS.IO,B
Nxt,B
NXT,B
MVCC,B
EOS,B
IQ,B
IQ tokens,B I
EOSIO,B
Stellar,B
cryptocurrency bitcoin,B I
Tezos,B
Titcoin,B
digital currency,B I
decentralized peer-to-peer network,B I I
Verge Currency,B I
peer-to-peer filesharing networks,B I I
eID wallet Tether,B I B
stablecoin,B
tethers,B
tether,B
Diem,B
Libra,B
decentralized computers systems,B I I
distributed ledger,B I
shared ledger,B I
distributed ledger technology,B I I
DLT,B
DLTs,B
blockchain-based distributed ledgers,B I I
Distributed computing,B I
distributed computing,B I
bitcoins,B
Kin,B
ERC-20 cryptocurrency token,B I I
Stablecoins,B
crypto-currency,B
AmbaCoin,B
Zcash,B
TRX,B
Namecoin,B
Bitconnect,B
BitConnect,B
stylized bitconnect,B I
Bcash,B
The petro,B I
petromoneda,B
Dogecoin,B
Dai,B
DAI,B
stablecoin cryptocurrency,B I
MakerDAO,B
decentralized autonomous organization ( DAO ),B I I I I I
decentralized finance,B I
DeFi,B
Gridcoin,B
BOINC,B
distributed computing platform,B I I
cryptocurrency mining,B I
digital signatures,B I
message authentication codes ( MACs ),B I I I I I
Cardano,B
Ada,B
Firo,B
Zcoin,B
digital ledger,B I
Basic Attention Token,B I I
BAT,B
decentralized ad exchange platform,B I I I
application specific integrated circuits,B I I I
ASIC,B
Bitcoin Gold,B I
Multiversion concurrency control,B I I
MCC,B
digital money,B I
digital ledgers,B I
Ether,B
Auroracoin,B
Virtual currency,B I
virtual money,B I
KodakCoin,B
KODAKCoin,B
Decentralized network 42,B I I
dn42,B
VPNs,B
BGP routers,B I
Litecoin,B
peer-to-peer cryptocurrency,B I
USD Coin,B I
USDC,B
digital stablecoin,B I
Aventus Token,B I
AVT,B
Ripple,B
XRP,B
smart city testbeds,B I I
Distributed ledgers,B I
the DAO,B I
cryptocurrency wallets,B I
peer-to-peer network,B I
Vertcoin,B
VTC,B
non-fungible token,B I
ERC-721 token,B I
ETH,B
distributed system,B I
distributed systems,B I
SOA-based systems,B I
online games,B I
Steemit,B
cryptocurrency STEEM,B I
decentralized digital currency,B I I
peer-to-peer bitcoin network,B I I
public distributed ledger,B I I
Bitcoins,B
MazaCoin,B
Maza,B
MZC,B
non-blockchain distributed ledger,B I I
quantum computer,B I
digital coins,B I
Peercoin,B
Primecoin,B
Counterparty,B
XCP,B
QR Codes,B I
peer-to-peer financial platform,B I I
Bitcoin 2.0,B I
Mastercoin,B
Colored Coins,B I
BitShares,B
metacoin,B
airdrop,B
Airdrops,B
Uniswap,B
decentralized cryptocurrency,B I
Monero,B
BTG,B
Quorum,B
cryptocurrency EOS,B B
ERC-20 tokens,B I
digital signature,B I
fungible ( ERC20 ),B I I I
non-fungible ( ERC721 ) tokens,B I I I I
decentralized exchanges,B I
decentralized autonomous organizations,B I I
DAOs,B
Tether,B
PPCoin,B
PPC,B
decentralized exchange networks,B I I
blockchain-based automated liquidity pool,B I I I
automated market maker ( AMM ),B I I I I I
Smart Token,B I
Bancor Network Token,B I I
Dash,B
decentralized autonomous organization,B I I
DAO,B
trusted platform module ( TPM ),B I I I I I
TPM,B
TPM chip,B I
ERC-20 Token,B I
fungible tokens,B I
peer-to-peer insurance,B I
NEO,B
Antshares,B
obfuscated public ledger,B I I
file sharing system,B I I
web-wallet,B
Decentralized computing,B I
centralized computing,B I
decentralized computer system,B I I
Desktop computers,B I
desktop computers,B I
Vending machines,B I
cryptocurrency Ethereum,B B
Smart contracts,B I
auroracoins,B
eID,B
blockchain game,B I
Decentralized finance,B I
DeFi platforms,B I
Compound,B
decentralized exchange,B I
cloud storage technologies,B I I
PoS based cloud storage,B I I I
multiversion concurrency control ( MVCC ),B I I I I I
peer-to-peer decentralized database,B I I
Distributed Ledger ( DLT ),B I I I I
decentralized computing,B I
music file sharing application,B I I I
Nano,B
NANO,B
RaiBlocks,B
XRB,B
peer-to-peer digital currency,B I I
decentralized virtual machine,B I I
Centralized computing,B I
central computer,B I
Digital currency,B I
electronic money,B I
electronic currency,B I
electronic computer database,B I I
digital currencies,B I
virtual currencies,B I
central bank digital currencies,B I I I
e-Cash,B
SpaceMint,B
Burstcoin,B
IOTAs,B
virtual net metering,B I I
peer-to-peer ( P2P ) energy trading,B I I I I I
Peer-to-Peer energy trading,B I I
PoS-based cryptocurrencies,B I
Filecoin,B
digital payment system,B I I
decentralized storage system,B I I
centralized computer system,B I I
scanners,B
modems,B
Reproductive cloning,B I
somatic cell nuclear transfer,B I I I
SCNT,B
Molecular cloning,B I
cloning,B
trans-cranial neural sensing Vertical farming,B I I B I
soilless farming,B I
hydroponics,B
aquaponics,B
aeroponics,B
vertical farming,B I
operational vertical farmland,B I I
vertical farmings,B I
LED lights,B I
Fruit picking robots,B I I
driverless tractor,B I
sheep shearing robots,B I I
brain–computer interface ( BCI ),B I I I I
neural control interface ( NCI ),B I I I I I
mind–machine interface ( MMI ),B I I I I
direct neural interface ( DNI ),B I I I I I
brain–machine interface ( BMI ),B I I I I
BCIs,B
ion thruster,B I
ion drive,B I
plasma propulsion engine,B I I
electric propulsion,B I
ion thruster engines,B I I
grids/anodes,B
Plasma thrusters,B I
high voltage grids,B I I
anodes/cathodes,B
thruster,B
anodes,B
electron gun,B I
hollow cathode,B I
nanoscale robotics,B I
nanometer-scale computers,B I
claytronic atoms,B I
catoms,B
human-computer interfaces,B I
molecular assembler,B I
Utility fog,B I
self-reconfiguring modular robotics,B I I
Aerogel,B
synthetic porous ultralight material,B I I I
frozen smoke,B I
solid smoke,B I
solid air,B I
solid cloud,B I
blue smoke,B I
Silica aerogels,B I
polymer-based aerogels,B I
Aerogels,B
amorphous metal,B I
metallic glass,B I
glassy metal,B I
Amorphous metals,B I
electrical insulators,B I
amorphous metals,B I
physical vapor deposition,B I I
solid-state reaction,B I
ion irradiation,B I
mechanical alloying,B I
bulk metallic glasses ( BMG ),B I I I I I
amorphous steel,B I
Bioplastics,B
Bioplastic,B
intrinsically conducting polymers ( ICPs ),B I I I I I
organic solar cells,B I I
printed electronic circuits,B I I
organic light-emitting diodes,B I I
electrochromism,B
chemical sensors,B I
flexible transparent displays,B I I
electromagnetic shielding,B I
microwave-absorbent coatings,B I
stealth aircraft,B I
nanofibers,B
nanosponges,B
organic light emitting diodes,B I I I
organic polymer solar cells,B I I I
electromagnetic interference ( EMI ),B I I I I
electrostatic discharge ( ESD ),B I I I I
cryogenic treatment,B I
quantimet,B
Dynamic armour,B I
electric armour,B I
ships,B
armoured fighting vehicles,B I I
solar cells,B I
light-emitting diodes ( LED ),B I I I I
touch panels,B I
smart windows,B I
Smartphone,B
graphene touch screens,B I I
lab-on-a-chip ( LOC ),B I I I
single integrated circuit,B I I
high-throughput screening,B I
LOCs,B
Lab-on-a-chip,B
microelectromechanical systems ( MEMS ),B I I I I
High-temperature superconductors,B I
high-Tc,B
HTS,B
high-temperature superconductors,B I
Metallic superconductors,B I
low-temperature superconductors,B I
Magnetic nanoparticle clusters,B I I
magnetic nanochains,B I
tissue specific targeting,B I I
magnetically tunable colloidal photonic crystals,B I I I I
microfluidics,B
magnetic particle imaging,B I I
nanofluids,B
optical filters,B I
defect sensor,B I
magnetic cooling,B I
cation sensors,B I
magnetorheological fluid,B I
MR fluid,B I
MRF,B
smart fluid,B I
MR fluids,B I
Magnetorheological dampers,B I
dampers,B
Magnetorheological finishing,B I
magnetorheological fluid-based optical polishing,B I I I
Telescope,B
shock absorbers,B I
damper,B
magnetorheological damper,B I
Microfluidics,B
inkjet printheads,B I
DNA chips,B I
micro-propulsion,B
micro-thermal technologies,B I
High Performance Liquid Chromatography ( HPLC ) Acoustic droplet ejection ( ADE ) Superfluidity,B I I I I I I B I I I I I B
Metamaterial antennas,B I
metamaterial absorber,B I
superlens,B
Radar absorbent material ( RAM ),B I I I I I
RAMs,B
Quantum dot laser,B I I
quantum dot display,B I I
TV,B
high-speed data transmission,B I I
laser scalpel,B I
metal foam,B I
metallic foams,B I
foam filled tubes,B I I
anti-intrusion bars,B I
Re-configurable aircraft wings,B I I
shape-changing aerodynamic panels,B I I
Variable geometry engine exhausts,B I I I
turbine blade,B I
wind turbine,B I
Microelectromechanical systems,B I
micro-switches,B
mechanical memory cells,B I I
micropumps,B
adaptive shape panels,B I I
shape changing mirrors,B I I
Cellular automata,B I
Quantum wells,B I
metal oxide semiconductor field effect transistors ( MOSFETs ),B I I I I I I I I
Tunnel field-effect transistors ( TFETs ),B I I I I I
MOSFETs,B
Synthetic diamond,B I
laboratory-grown diamond,B I
laboratory-created diamond,B I
cultured diamond,B I
synthetic diamond,B I
high-power laser diodes,B I I
laser arrays,B I
high-power transistors,B I
time crystal,B I
quantum memories,B I
Translucent concrete,B I
light-transmitting concrete,B I
optical fibers,B I
drone display,B I
quadcopters,B
flexible display,B I
rollable display,B I
electronic visual display,B I I
flat screen displays,B I I
e-readers,B
mobile phones,B I
electronic ink,B I
volumetric displays,B I
3D imagery,B I
Volumetric 3D displays,B I I
3D displays,B I
stereograms,B
stereoscopes,B
electro-holographic displays,B I
parallax panoramagrams,B I
spatially multiplexed systems,B I I
lenticular-sheet displays,B I
parallax barrier displays,B I I
re-imaging systems,B I
Laser color television,B I I
laser TV,B I
laser color video display,B I I I
polygon-mirror system,B I
color-television display,B I
cathode ray tube,B I I
digital light processing,B I I
virtual three-dimensional image,B I I
Holographic displays,B I
Computer-generated holography ( CGH ),B I I I I
holographic image,B I
optical transistor,B I
optical switch,B I
light valve,B I
electronic transistor,B I
Optical transistors,B I
Screenless video,B I
Screenless computing,B I
Visual Image screenless display,B I I I
hologram,B
LCD panel,B I
cockpit window,B I
LCD panels,B I
tablet computers,B I
Virtual retinal display systems,B I I I
screenless displays,B I
virtual retinal display ( VRD ),B I I I I I
retinal scan display ( RSD ),B I I I I I
retinal projector ( RP ),B I I I I
television,B
Bionic contact lenses,B I I
virtual display,B I
video gaming,B I
contact lens,B I
bionics technology,B I
Augmented reality ( AR ),B I I I I
AR,B
Augmented reality,B I
mixed reality,B I
computer-mediated reality,B I
Augmentation techniques,B I
heads up display,B I I
HUD,B
Virtual reality,B I
video games,B I
3D cinema,B I
VR,B
XR,B
immersive VR,B I
text-based networked VR,B I I
VRs,B
virtual reality headsets,B I I
head-mounted display,B I
haptic technology,B I
Multimodal biometric systems,B I I
unimodal biometric systems,B I I
iris recognition systems,B I I
electronic fingerprint recognition,B I I
fingerprint scans,B I
voice recognition,B I
spoken passcode,B I
iris recognition,B I
Digital scent technology,B I I
olfactory technology,B I
electronic noses,B I
electronic nose,B I
electronic sensing,B I
Flexible electronics,B I
flex circuits,B I
transparent conductive polyester,B I I
printed silver circuits,B I I
Flexible electronic assemblies,B I I
flexible electronics,B I
flexible silicon,B I
Organic light-emitting diodes,B I I
OLEDs,B
flexible displays,B I
flexible organic light-emitting diode display,B I I I I
memristor,B
resistor,B
capacitor,B
silicon integrated circuits,B I I
Nanoelectromechanical systems,B I
transistor-like nanoelectronics,B I
mechanical actuators,B I
accelerometers,B
solid-state transformer ( SST ),B I I I I
power electronic transformer ( PET ),B I I I I I
electronic power transformer,B I I
AC-to-AC converter,B I
electric power converter,B I I
conventional transformer,B I
AC-to-DC-to-DC-to-AC converter,B I
DC-to-DC converter,B I
solid-state transformer,B I
Solid-state transformer,B I
high-frequency transformers,B I
Multi-level converter,B I
electronic circuit,B I
Spintronics,B
spin transport electronics,B I I
spin electronics,B I
Spintronic,B
dilute magnetic semiconductors,B I I
DMS,B
thermal copper pillar bump,B I I I
thermal bump,B I
copper pillar solder bumps,B I I I
GPU integrated circuits,B I I
laser diodes,B I
semiconductor optical amplifiers,B I I
SOA,B
thermal bumps,B I
solid-state heat pumps,B I I
three-dimensional integrated circuit,B I I
3D IC,B I
MOS,B
metal-oxide semiconductor,B I
integrated circuit ( IC ),B I I I I
3D integrated circuits,B I I
3D wafer-level packaging,B I I
3DWLP,B
3D interposer-based integration,B I I
3D stacked ICs,B I I
3D-SICs,B
monolithic 3D ICs,B I I
3D heterogeneous integration,B I I
3D systems integration,B I I
Twistronics,B
Airborne wind turbine Americium battery Artificial photosynthesis Concentrated solar power Cryogenic treatment Electric double-layer capacitor Energy harvesting Flywheel energy storage,B I I B I B I B I I B I B I I B I B I I
Generation IV nuclear reactor Gravity battery Grid energy storage Home fuel cell Hypercapacitor Lithium-air battery Lithium iron phosphate battery Lithium–sulfur battery Magnesium battery Magnonics Molten salt reactor Nanowire battery Nantenna Ocean thermal energy conversion Solid-state battery Smart grid Space-based solar power Thorium nuclear fuel cycle Vortex engine Wireless energy transfer Zero-energy building Computer-generated imagery ( CGI ),B I I I B I B I I B I I B B I B I I I B I B I B B I I B I B B I I I B I B I B I I B I I I B I B I I B I B I I I I
computer animation,B I
CGI,B
3-D computer graphics,B I I
'CGI animation,B I
Ultra-high-definition television,B I
Ultra HD television,B I I
Ultra HD,B I
UHDTV,B
UHD,B
Super Hi-Vision,B I
4K UHD,B I
8K UHD,B I
digital television ( DTV ),B I I I I
high-definition television,B I
HDTV,B
standard-definition television,B I
SDTV,B
artificial brain,B I
artificial mind,B I
carbon nanotube field-effect transistor,B I I I
CNTFET,B
field-effect transistor,B I
carbon nanotube,B I
CNTFETs,B
DNA digital data storage,B I I I
Exascale computing,B I
supercomputer,B
Gesture recognition,B I
emotion recognition,B I
hand gesture recognition,B I I
gesture recognition,B I
GUIs,B
graphical user interfaces,B I I
keyboard,B
mouse,B
Holographic Versatile Disc,B I I
HVD,B
optical disc technology,B I I
optical disc,B I
Ultra HD Blu-ray,B I I
4K Ultra HD,B I I
UHD-BD,B
digital optical disc,B I I
Blu-ray,B
Ultra HD Blu-ray discs,B I I I
Blu-ray players,B I
3D optical data storage,B I I I
CD,B
Holographic data storage,B I I
holographic data storage,B I I
General-purpose computing on graphics processing units,B I I I I I
GPGPU,B
GPGP,B
graphics processing unit,B I I
video cards,B I
graphics chips,B I
GPU-CPU framework,B I
CPUs,B
Li-Fi,B
LiFi,B
LED lamps,B I
Machine translation,B I
MT,B
computer-aided translation,B I
machine-aided human translation,B I I
interactive translation,B I
Machine vision,B I
MV,B
on-screen drawing,B I
multi-party conferencing,B I
Webcams,B
webcasting,B
virtual classrooms,B I
virtual learning,B I
e-learning,B
Screencasting,B
digital cameras,B I
video cameras,B I
interactive whiteboard,B I
document cameras,B I
LCD projectors,B I
nanoradio,B
carbon nanotube radio,B I I
radio transmitter,B I
nanoradios,B
Neuromorphic engineering,B I
neuromorphic computing,B I
very-large-scale integration ( VLSI ) systems,B I I I I I
analog/digital VLSI,B I
oxide-based memristors,B I
spintronic memories,B I
threshold switches,B I
Optical or photonic computing,B I I I
lasers,B
diodes,B
synthetic aperture radar ( SAR ),B I I I I I
optical correlators,B I
optical computing,B I
Correlators,B
Quantum radar,B I
speculative remote-sensing,B I
quantum radar,B I
interferometric quantum detection,B I I
near-distance surveillance,B I
biomedical scanning,B I
Semantic Web,B I
Question answering ( QA ),B I I I I
smart speaker,B I
virtual assistant,B I
smart speakers,B I
mesh networking,B I
virtual assistants,B I
Software-defined radio ( SDR ),B I I I I
mixers,B
filters,B
amplifiers,B
modulators/demodulators,B
SDR,B
automatic speech recognition,B I I
ASR,B
computer speech recognition,B I I
speech to text,B I I
STT,B
Subvocal recognition ( SVR ),B I I I I
Cryonics,B
low-temperature freezing,B I
De-extinction,B
resurrection biology,B I
species revivalism,B I
de-extinction,B
Cloning,B
genome editing,B I
DNA vaccine,B I
DNA vaccines,B I
DNA sequence encoding,B I I
Enzybiotics,B
enzybiotics,B
Nanomedicine,B
nanoelectronic biosensors,B I
fluorescent semiconducting nanosensors,B I I
fluorescence resonance energy transfer ( FRET ),B I I I I I I
Quantum dots,B I
Gold nanoparticle-based optical sensors,B I I I
nanosensor technology,B I
molecular imprinting,B I
Nanosensors,B
nanosensors,B
top-down lithography,B I
bottom-up assembly,B I
molecular self-assembly,B I
nanosensor,B
Omni Processor,B I
oncolytic virus,B I
oncolytic adenovirus,B I
oncolytic herpes virus,B I I
MRI contrast agents,B I I
fluorescent markers,B I
inorganic quantum dots,B I I
nuclear imaging agents,B I I
biomarkers,B
phenotypic screening,B I
transfection library screening,B I I
Whole genome sequencing,B I I
whole genome sequences,B I I
DNA profiling,B I
whole genome sequencing,B I I
whole exome sequencing,B I I
SNP genotyping,B I
capillary sequencing,B I
high-throughput ( formerly `` next-generation `` ) sequencing technologies,B I I I I I I I I
nanopore technology,B I
nanopore sequencing,B I
whole-genome sequencing,B I
Passive immunization,B I
Stem-cell therapy,B I
human cloning,B I
synthetic genomics,B I
Vitrification,B
vitrification,B
cryoprotectant,B
cryoprotectants,B
Cryoprotectants,B
vitrification cocktail,B I
Genetic engineering,B I
genetic modification,B I
genetic manipulation,B I
GM salmon,B I
genetically modified food,B I I
PCR,B
Gene targeting,B I
Genome editing,B I
engineered nucleases,B I
meganucleases,B
zinc finger nucleases,B I I
transcription activator-like effector nucleases,B I I I
TALENs,B
Cas9-guideRNA system,B I
TALEN,B
genetically modified organism,B I I
GMO,B
microinjection,B
virus-mediated,B
Agrobacterium-mediated,B
biolistics,B
Transcription activator-like effector nucleases,B I I I
Southern hybridization,B I
northern hybridisation,B I
quantitative RT-PCR,B I
Western blot,B I
immunofluorescence,B
ELISA,B
phenotypic analysis,B I
ZFNs,B
CRISPR/Cas,B
clustered regularly interspaced short palindromic repeat/CRISPRassociated protein,B I I I I I I
CRISPR/Cas9,B
megaTAL,B
meganuclease,B
DNA recognition,B I
TALE nuclease,B I
Golden gate cloning,B I I
clustered regularly interspaced short palindromic repeat,B I I I I I
CRISPR associated protein,B I I
CRISPR/Cas system,B I
Cas9 proteins,B I
Cas9 enzyme,B I
CRISPR/Cpf1,B
HIV-resistant babies,B I
Cas 9 endonuclease,B I I
CRISPR-Cas9,B
genetic engineering,B I
gene gun,B I
biolistic particle delivery system,B I I I
Southern blot,B I
Southern blotting,B I
RNA sequencing,B I
DNA colony sequencing,B I I
random surface-polymerase chain reaction,B I I I
genome sequencers,B I
massively parallel signature sequencing ( MPSS ),B I I I I I I
bead-based sequencing,B I
DNA sequencers,B I
Maxam-Gilbert sequencing,B I
in vitro cloning,B I I
Emulsion PCR,B I
polymerase chain reaction,B I I
Shotgun sequencing,B I
High-throughput sequencing,B I
Single molecule real time ( SMRT ) sequencing,B I I I I I I I
Single molecule real time sequencing SMRT sequencing,B I I I I B I
Nanopore DNA sequencing,B I I
Nanopore sequencing,B I
SMRT sequencing,B I
exonuclease sequencing,B I
solid state nanopore sequencing,B I I I
protein based nanopore sequencing,B I I I
Protein nanopore sequencing,B I I
solid-state nanopore sequencing,B I I
nanopore array,B I
Short-read sequencing methods,B I I
Short-read sequencing Massively parallel signature sequencing ( MPSS ),B I B I I I I I I
high-throughput sequencing,B I
massively parallel signature sequencing,B I I I
MPSS,B
Polony sequencing,B I
polony sequencing,B I
emulsion PCR,B I
automated microscope,B I
454 pyrosequencing,B I
sequencing machine,B I
Illumina ( Solexa ) sequencing,B I I I I
Illumina dye sequencing,B I I
reversible dye-terminators,B I
engineered polymerases,B I
Illumina MiSeq sequencer,B I I
combinatorial probe anchor ligation technology ( cPAL ),B I I I I I I I
DNA nanoballs ( DNB ),B I I I I
nanoball,B
DNA nanoballs,B I
DNBs,B
SOLiD sequencing DNA nanoball sequencing,B I B I I
high throughput sequencing,B I I
DNA nanoball,B I
genome sequencing,B I
microfluidic systems,B I
droplet based microfluidics,B I I
digital microfluidics,B I
solid-state nanopores,B I
atomic force microscopy,B I I
transmission electron microscopy,B I I
Tunnelling currents DNA sequencing RNAP sequencing Microfluidic Sanger sequencing,B I I I B I B I I
wafer-scale chip,B I
transmission electron microscopy DNA sequencing,B I I I I
Transmission electron microscopy DNA sequencing,B I I I I
single-molecule sequencing,B I
electron microscope,B I
genome engineering,B I
gene editing,B I
Genetic testing,B I
DNA testing,B I
genetic testing,B I
Artificial gene synthesis,B I I
gene synthesis,B I
DNA synthesis,B I
artificial gene synthesis,B I I
solid-phase DNA synthesis,B I I
DNA printing,B I
Recombinant DNA,B I
Site-directed mutagenesis,B I
polymerase chain reaction ( PCR ),B I I I I I
DNA cloning,B I
gene analysis,B I
rDNA,B
genetic recombination,B I
molecular cloning,B I
computer-aided design,B I
Repressilator Mammalian tunable synthetic oscillator Bacterial tunable synthetic oscillator Coupled bacterial oscillator Globally coupled bacterial oscillator Synthetic biological circuits,B B I I I B I I I B I I B I I I B I I
electronic circuits,B I
natural biological circuit,B I I
genome-editing,B
clustered regularly interspaced short palindromic repeats,B I I I I I
-CRISPR-associated protein,B I
Cas9,B
zinc-finger nucleases,B I
homing endonucleases,B I
brain–computer interface,B I
BCI,B
neural control interface,B I I
NCI,B
mind–machine interface,B I
MMI,B
direct neural interface,B I I
DNI,B
brain–machine interface,B I
BMI,B
human-computer interaction,B I
Neuroimaging,B
brain imaging,B I
neuroimaging,B
Functional near-infrared spectroscopy,B I I
fNIRS,B
Optical Topography,B I
near-infrared spectroscopy,B I
NIRS,B
functional neuroimaging,B I
Brain Mapping Functional Neuroimaging Hyperscanning Diffuse optical imaging,B I B I B B I I
DOI,B
3D volumetric models,B I I
diffuse optical tomography,B I I
2D imaging,B I
diffuse optical topography,B I I
wound monitoring,B I
cancer detection,B I
DOI techniques,B I
near infrared optical tomography,B I I I
NIROT,B
fluorescence diffuse optical tomography,B I I I
FDOT,B
NIR,B
functional near infrared spectroscopy fNIRS,B I I I B
Brain-reading,B
thought identification,B I
fMRI,B
brain fingerprinting,B I
natural computing,B I
bio-inspired computing,B I
neurocomputing,B
Electroencephalography,B
electrophysiological monitoring,B I
invasive electrodes,B I
electrocorticography,B
intracranial EEG,B I
high-resolution anatomical imaging,B I I
computed tomography,B I
CT,B
head transplant,B I
Application-Specific Integrated Circuit,B I I
application-specific integrated circuit,B I I
integrated circuit ( IC ) chip,B I I I I I
digital voice recorder,B I I
bitcoin miner,B I
Application-specific standard product,B I I
ASSP,B
ASICs,B
integrated circuits,B I
ASIC chips,B I
metal-oxide-semiconductor,B
MOS integrated circuit chips,B I I I
Field-programmable gate arrays,B I I
FPGA,B
FPGAs,B
non-recurring engineering,B I
NRE,B
Stentrode,B
Stent-electrode recording array,B I I
stent-mounted electrode array,B I I
powered exoskeletons,B I
robotic prosthesis,B I
Peer-to-peer ( P2P ) computing,B I I I I
P2P systems,B I
Peer-to-peer networks,B I
TCP/IP network,B I
P2P system,B I
peer-to-peer networks,B I
CPU/memory,B
structured peer-to-peer networks,B I I
structured P2P networks,B I I
distributed hash table ( DHT ),B I I I I I
DHTs,B
DHT-based networks,B I
peer-to-peer unstructured networks,B I I
Peer-to-peer systems,B I
P2P networks,B I
MP3,B
Wireless mesh network,B I I
P2P network,B I
File-sharing networks,B I
peer-to-peer file sharing networks,B I I I
peer-to-peer technologies,B I
Peer-to-peer content delivery networks,B I I I
Peer-to-peer content services,B I I
file sharing networks,B I I
Peer-to-peer networking,B I
Peercasting,B
multicasting streams,B I
peer-to-peer-based digital cryptocurrencies,B I I
peer-to-peer web cache,B I I
LANs,B
IP multicasting,B I
distributed version-controlled publishing platform,B I I I
peer-to-peer web search engine Filecoin,B I I I B
distributed file system,B I I
peer-to-peer chat,B I
Wireless community network,B I I
directory-syncing app,B I
P2P streaming,B I
serverless networks,B I
peer to peer technology,B I I I
peer-to-peer operating system,B I I
client–queue–client or passive queue system,B I I I I
client–server computer network,B I I
peer-to-peer,B
client–queue–client system,B I
client–queue–client approach,B I
Semantic P2P networks,B I I
semantic P2P networks,B I I
Semantic P2P network,B I I
semantic P2P systems,B I I
P2P,B
Segmented file-transfer,B I
multisource file-transfer,B I
swarming file-transfer,B I
Quantum teleportation,B I
quantum teleportation,B I
Quantum key distribution ( QKD ),B I I I I I
quantum circuit,B I
quantum computation,B I
Quantum networks,B I
quantum processor,B I
quantum networking,B I
quantum well,B I
electronic quantum well,B I I
photodetectors,B
modulators,B
quantum dot solar cell ( QDSC ),B I I I I I I
solar cell,B I
multi-junction solar cells,B I I
quantum dot,B I
optical coherence tomography,B I I
projection,B
quantum dot laser,B I I
optical LANs,B I
quantum-well lasers,B I
semiconductor laser,B I
active laser,B I
Lasers,B
gas lasers,B I
semiconductor lasers,B I
quantum dot lasers,B I I
LCD TVs,B I
QD-LED TVs,B I
QDLED displays,B I
quantum-dot light-emitting diodes,B I I
QD-LED,B
EL-QLED,B
ELQD,B
QDEL,B
active-matrix organic light-emitting diode,B I I I
AMOLED,B
MicroLED displays,B I
QD-LED displays,B I
flat-panel TV screens,B I I
handheld game consoles,B I I
Photo-emissive quantum dot,B I I
RGB LCD color filters,B I I I
colored photoresists,B I
LED-backlit LCDs,B I
color filters,B I
blue/UV OLED,B I
MicroLED,B
OLED displays,B I
quantum dots ( QD ),B I I I I
semiconductor nanocrystals,B I
Quantum dot cellular automata,B I I I
quantum cellular automata,B I I
QCA,B
conventional computer design ( CMOS ),B I I I I I
cellular automata,B I
Graphene quantum dots,B I I
bioimaging,B
temperature sensing,B I
LEDs lighter converters,B I I
OPV solar cells,B I I
biosensors fabrication,B I
Graphene quantum dots ( GQDs ),B I I I I I
GQDs,B
CQDs,B
dye-sensitized solar cells,B I I
supercapacitor,B
photosensitizer,B
CQD,B
dye-sensitized solar cell,B I I
DSSC,B
DSC,B
DYSC,B
thin film solar cells,B I I I
photo-sensitized anode,B I
dye solar cell,B I I
Carbon quantum dots,B I I
C-dots,B
CDs,B
QDs,B
QD,B
cadmium-free quantum dots,B I I
CFQDs,B
metal–oxide–semiconductor ( MOS ),B I I I
integrated circuit ( IC ) chips,B I I I I I
Quantum dot photodetectors ( QDPs ),B I I I I I
single-crystalline semiconductors,B I
single-crystalline semiconductor QDPs,B I B
QDPs,B
infrared-light cameras,B I
fluorescent biomedical imaging,B I I
scanning microscopy,B I
near-field scanning optical microscopy ( NSOM ) imaging,B I I I I I I I
LCD displays,B I
quantum dot displays,B I I
liquid crystal display,B I I
LCD,B
fluorescent lamps,B I
white LEDs,B I
Quantum dot displays,B I I
blue-emitting LEDs,B I
blue LED,B I
blue LED light,B I I
RGB LED,B I
light-emitting diode,B I
quantum dot light-emitting diode,B I I I
QLED,B
quantum dot white-light-emitting diode,B I I I
QD-WLED,B
QD-LEDs,B
silicon-based integrated circuits,B I I
graphene quantum dots,B I I
Nanowires,B
quantum dot coatings,B I I
silicon nanowires ( SiNW ),B I I I I
carbon quantum dots,B I I
SiNWs,B
SiNW,B
single-crystal ZnO nanowires,B I I
CdSe quantum dots,B I I
QD-sensitized solar cell,B I I
nanowires,B
Colloidal quantum dots,B I I
inorganic/organic hybrid solar cells,B I I I
nanowire/PEDOT,B
hybrid solar cells,B I I
single-electron transistors,B I
